id,advisor_id,event_type,event_date
14,4,email_received,2026-02-28T04:42:56.223Z
15,5,email_received,2026-02-28T05:01:51.970Z
19,9,app_access:stewart-bailie,2026-05-01T22:02:33.326Z
20,9,app_access:stewart-bailie,2026-05-01T22:02:45.149Z
21,9,app_access:stewart-bailie,2026-05-01T22:10:01.262Z
22,9,app_access:stewart-bailie,2026-05-12T07:47:02.552Z
23,9,app_access:stewart-bailie,2026-05-12T13:18:18.279Z
24,9,app_access:stewart-bailie,2026-05-12T16:25:13.618Z
25,9,app_access:stewart-bailie,2026-05-12T16:29:27.598Z
